Date, TxHash, Type, Amount
2018-04-09T19:42:55Z, 6af78e29c3115c7b76742ad6e702c800fc5f8b1c87cb865fd4fe9dbca55e420d, SENT,-0.877295
2018-03-21T05:50:40Z, 569b47a3f51d139c2ab425230c66b6a539f009ce95eba7a3ebe1db59b4640931, SENT,-2.4855
2018-03-09T05:21:07Z, db8a001c8cecf4b05f12e0cc4ed9b1035934ae11dbc77b9b38332b8fe377f3c1, SENT,-0.0255032
2018-03-05T00:11:18Z, 9f6a97bf63b1e0dd30289ab248aba237b37676a1e022cad0613ae0cc900c0e54, RECEIVE,2.1715338
2018-02-28T00:48:31Z, da337bd3b5383e0e7cba7d77b1d7f3de5a2d8e2079be1ea5aba60a454078ac84, RECEIVE,0.00937093
2018-02-25T17:01:29Z, 4c4b1ecf61c96c83553500128c1b627ccb47fa9c3b80c595f2ea0e863eff4a16, RECEIVE,0.01046861
2018-02-22T19:58:25Z, b95e80af41f2de4e8d4d998d84c519bbb753d14b7a9b12c10ff8fbad621ccdd9, RECEIVE,0.010375
2018-02-22T16:34:50Z, 3826a098f10a0584d5e9696f041961972730e03a8334ae4286845bcc79f9f213, RECEIVE,0.01636655
2018-02-21T20:19:28Z, e8dd16f9bfae1a3e85fa64f6c0acf0d182a086cace35eaffbddfb770ecdb0352, SENT,-0.92866519
2018-02-20T20:36:18Z, 913cbd06f0d5b36e8e8cdf0b51e35e33dbf289bfe2302b8e12b98b9542502f96, RECEIVE,0.012811
2018-02-17T22:14:40Z, c514ed0849fa227dfda89b8d31e1f9168401bd9aa51f87dd73a75aaa7ed08166, RECEIVE,0.0199292
2018-02-17T10:21:49Z, c2648df3cfd955eb9cdbb562192555f3ab820699987585c76dde9784e390a46f, RECEIVE,0.00923666
2018-02-16T22:28:24Z, 2bb0325684f69f8a34767b401681e0eeecbbc746ffaa8638b06f0a33f6fe9e6d, RECEIVE,2.4855
2018-02-16T19:21:23Z, b232c374e255948c143a01d3d0bbbf157eda9b54f6c7164de66dcc3043d134e2, RECEIVE,0.01007277
2018-02-16T18:10:08Z, 5496830fbbef7893e0866b9119897f6b0c0f98945adf001c4846d12b168e8c6b, RECEIVE,0.03943615
2018-02-16T15:37:20Z, a2a42a6a7a1d1e9020770d299a8021aa9f3f87ef29c0a85d2ac7b0afc91b9181, RECEIVE,0.00990744
2018-02-16T14:50:15Z, b1dc2dd63ce806dca901d2bffb05780d38d195da6856a82d7b122c745efa6b85, RECEIVE,0.01012758
2018-02-16T12:16:34Z, 6018e2a783a124f99f6881c01d57f2356772e871fa77af0bbf6d518ecffec3ab, RECEIVE,0.01017539
2018-02-16T03:01:39Z, 9159abcca5ff0190e10e8f718d433e28c9ee3db87d4d5189fd236398edd77ee8, RECEIVE,0.00984697
2018-02-15T18:27:14Z, 4aee7c333baee213fa85e4741c234f5aa0bc2da4680c2e83eadd0d4b1f2dce6b, RECEIVE,0.00993315
2018-02-13T03:16:31Z, 813483341ea55b93545eab89abdc03c0a5b47b8ae1d996392d23b1b354b6cb07, RECEIVE,0.02803
2018-02-06T20:01:14Z, 190c989c60ab580c27dc331b3ccff50975c1f3c7152d674585f51f9b5175703a, RECEIVE,0.01402695
2018-02-05T07:35:15Z, 8f9427405cf78883a451bfca4ee5bccd79d0bae76e2f5b4bff169d12b7688eb4, RECEIVE,0.01861339
2018-02-04T15:32:32Z, 327ba7475e824cd15da230a01c9bd7449a88a651e02eb811179ae4c9b46ad158, RECEIVE,0.0115152
2018-02-04T10:43:57Z, 9c7a3f9fbeac92894dcde14e9178f0e16a03c2e09f3069f3e0d4d49b1b823d50, RECEIVE,0.51186096
2018-02-01T14:35:11Z, 2d1c345ad7be74e5618db634bcc478310a1961e2bdb879748b5019d8520f3b8d, RECEIVE,0.01171959
2018-02-01T13:37:02Z, d84c567f454fe88bea2adb4fdbfa0a804b942ccc19dcd3d03bf58b25dd1efe98, RECEIVE,0.01643223
2018-01-30T23:51:06Z, 6f65bf8f5f8eea28d013708bdc0857efd08e9a33965aea836d92d422c192ebdf, RECEIVE,0.06339321
2018-01-30T03:04:38Z, 7c7f47329fe693e4dcd203fd135d603e344238238d1dc9a367a150d1406e47e1, RECEIVE,0.0129558
2018-01-29T08:44:52Z, c342550c434f425f4b5e43d8e4663c5b1a0904cb298b80f4669c85d15500fd8a, RECEIVE,0.025
2018-01-28T19:39:58Z, 3b8ad0cf2cb4b733657c4fa61dc32c62f1f3346a1094a1bea0f4c20a629eafc2, RECEIVE,0.19987435
2018-01-28T16:33:44Z, ae34bef008d09ebdd651036ccedd6304ec451c3d59e9b1fbf550b9b51810c121, RECEIVE,0.025
2018-01-27T11:13:26Z, 61119aecef22a8c992ed0cae3d3b131fd7dbf98ca49955f0a43913c21c0ef158, RECEIVE,0.067
2018-01-24T21:59:02Z, 6074b3eb1671a0dc9e5a1a57bf12194e6a9a95f8c41aee151ee7f5d5dc1adc0e, RECEIVE,0.05088521
2018-01-22T10:02:13Z, 209be4e1d9d1ce599419aee7e6398880fe5805fea2ac75a97964ac807507d166, RECEIVE,0.125
2018-01-22T01:00:25Z, 89b455540459054ee7597d3728a79638cb5c98387e638b0400c9dfc19ed079f5, RECEIVE,0.01049074
2018-01-20T14:26:08Z, fffc281465a1170d7d55dec88bd39523c1ab5ccadbdc53e1c32d26ee2ff43e4b, RECEIVE,0.01564908
2018-01-20T12:47:54Z, f235ea741ebb55e526d700804fffc7bbaeb28b332fa8236444c926e2c3a752ec, RECEIVE,0.0361513
2018-01-20T09:51:37Z, e56c1b2ebb971e73f310afda99b10d11ebcfb63d5e6883da14d654ff03161d07, RECEIVE,0.01998298
2018-01-19T20:26:31Z, 763682a841af4fa519f16a63d35a67fe21de49385fb8b330217510691a226c45, RECEIVE,0.00917005
2018-01-19T16:47:22Z, 57bff0689cd492f4f48637426832776fd1dadcf0aec580156acc0f7470df6acb, RECEIVE,0.0020604
2018-01-19T13:10:59Z, 3074a942e41705b50d84a3591e60ac9aa0fd89824f8b7217d211dcda3873e487, RECEIVE,0.008444
2018-01-19T09:55:18Z, f5a6ddbaa929a3f9e3293327737c2f346782997806a6eef23e16e61004b8e71f, RECEIVE,0.00850391
2018-01-19T08:15:01Z, 61f9cddb0a1b20ecf34ad5ce38bfd7c1382b56a4de03896f5d631f794b3e289e, RECEIVE,0.0255032
2018-01-19T05:23:05Z, 8aee7ca0f5e2a60441d858a4ea54a47d8ed328db15c31b7b18f999f772e136a9, RECEIVE,0.00886
2018-01-19T00:21:28Z, fef7b7294e58ba6eda3ce647d69dc89a9ccd9ca72962880e67614b9bd0448d5b, RECEIVE,0.877295
2018-01-18T23:36:14Z, 726bb35c6cb73cfb0146e105ebdac439ee7f0a3a2ddded609ee822fca6bb9faa, RECEIVE,0.05461115
2018-01-18T23:34:12Z, 8a2a94c1e7b189501a4d4d08d8855b5d13c72bd599dfe7d4a1cc651382d7f082, RECEIVE,0.02937779
2018-01-18T22:47:19Z, 2219e7d46d4bc70a52d1a6580806bbe8834001b1cbab0e264ec3954bdf13cd67, RECEIVE,0.00887704
2018-01-18T22:40:43Z, 4c58ba18417cf7b97b7807d74ebcbd887bc7f4f5f7236cc0346b43fa9f9ffd5a, RECEIVE,0.05616159
2018-01-18T22:34:15Z, 438f2c5b746a38d5c7a6e8c20687c23f07518a0bbd8fb27034c84f742d8a9f49, RECEIVE,0.2535
2018-01-18T22:20:04Z, 91abb8e5507c748150b1a1a9b511232cbe6be08fe73a1d5960bb3939a66fc5da, RECEIVE,0.02875
2018-01-18T22:20:04Z, b58aaa4433987d200d292f64cf2db304b1f95f59317578bf63e7bdfcd0d274c6, RECEIVE,0.11630579
2018-01-18T18:43:09Z, 29382d367429982f02fad5b1fbe3e9ff60f95410faf07880d330808e67d96f9f, RECEIVE,0.04269452
2018-01-18T17:56:12Z, 2f856f9b253fedc3dbc5cb371fb2990e06382d238dd78502288650662583e50c, RECEIVE,0.009
2018-01-18T17:08:45Z, fcbb416a7aaa30e178ab917d517dada945fee45281b5e5af48146780fae34f7c, RECEIVE,0.41680423
2018-01-18T15:13:08Z, ff39eab0c38b934d109c15a4c4a94eeb03f7a6770369e277b2e4ae1b32158ea3, RECEIVE,0.01429126
2018-01-18T08:08:27Z, ac1bad06fb760771a7e389908469148a514e21da9f2ce915c98450559b12b8ae, RECEIVE,0.29776049
2018-01-18T04:51:15Z, f2c036b401d091ab6291d6a31acd7249c4e7dcb6221baf033226d7f93de6c7fd, RECEIVE,0.12995714
2018-01-18T03:47:44Z, df3143e7a4c53ecc83118522f138a57111690b9c4575aac2e12903dd8a6a4c9b, RECEIVE,0.14884922
2018-01-18T03:10:26Z, 9bf0cb9df70be7a612ab39a48e4bd72c0c37fb3ba1f376469d6085a3c6c9c12e, RECEIVE,0.03430487
